"INSTANT","TAKES","LAT","LON","ALT","VACC","HACC","SPD","DIR"
191367,10011,40.061195,-0.1387866,234.1,27.633,27.633,0.0116763525,296.6809
201378,10011,40.060402,-0.1386735,236.6,30.054,30.054,0,0
211389,10011,40.06037,-0.1386795,236.6,31.714,31.714,0.0095284125,188.32643
221400,10011,40.060493,-0.1385012,236.70001,22.979,22.979,1.0487884,52.73872
231411,10011,40.060535,-0.1384214,236.8,18.634,18.634,0.9441089,53.729763
251367,10010,40.06051,-0.1382055,237.90001,20.106,20.106,0,0
261377,10010,40.060524,-0.1381581,237.90001,18.83,18.83,0.37425315,67.300545
271387,10010,40.060516,-0.1381441,237.90001,23.349,23.349,0.2055637,89.34491
281397,10010,40.0605,-0.1380558,237.90001,41.795,41.795,0.47090587,100.05219
291407,10010,40.060425,-0.1379263,237.90001,34.305,34.305,0.79591584,117.33066
311367,10012,40.060146,-0.1378168,239.40001,19.256,19.256,0,0
321379,10012,40.060062,-0.1377518,239.40001,20.759,20.759,0.06839798,148.72952
331391,10012,40.060017,-0.1376954,239.1,18.356,18.356,0.6193213,138.57066
341403,10012,40.059994,-0.1377439,239.40001,17.749,17.749,0.33566523,197.68422
351415,10012,40.059982,-0.1377078,239.5,16.424,16.424,0.24417269,153.38554
371367,10010,40.059982,-0.1376933,239.5,16.224,16.224,0,0
381377,10010,40.05998,-0.1377088,239.5,18.396,18.396,0.0119467825,254.64365
391387,10010,40.059986,-0.1377221,239.5,19.09,19.09,0.14884251,304.0208
401397,10010,40.060017,-0.1377177,239.40001,22.364,22.364,0.41207102,1.5610803
411407,10010,40.06004,-0.1377426,239.40001,24.186,24.186,0.33277625,329.49866
431367,10009,40.059944,-0.1377155,239.5,23.684,23.684,0,0
441376,10009,40.059933,-0.1377214,239.5,24.459,24.459,0.0045695854,202.47559
451385,10009,40.059925,-0.1377269,239.5,25.862,25.862,0.1200467,206.47437
461394,10009,40.059925,-0.1377259,239.5,25.13,25.13,0.0040175794,232.88675
471403,10009,40.059944,-0.1377108,239.5,22.196,22.196,0.19382617,30.754484
491367,10005,40.059963,-0.1376969,239.5,21.311,21.311,0,0
501372,10005,40.059963,-0.1377027,239.5,21.913,21.913,0.002240475,235.5306
511377,10005,40.05996,-0.1377088,239.5,21.533,21.533,0.04598109,261.0492
521382,10005,40.059948,-0.1377173,239.5,22.279,22.279,0.122802734,212.84451
531387,10005,40.059948,-0.1377185,239.5,22.279,22.279,0.043881875,208.12657
551367,10011,40.059944,-0.1377327,239.5,24.649,24.649,0.009598644,243.89708
561378,10011,40.059948,-0.1377302,239.5,25.283,25.283,0.0395624,26.78652
571389,10011,40.05995,-0.1377244,239.5,21.964,21.964,0.081725344,31.986258
581400,10011,40.059937,-0.1377512,239.5,24.394,24.394,0.21846934,233.3926
591411,10011,40.059925,-0.1377496,239.5,26.592,26.592,0.14931126,190.22694
611367,10009,40.059925,-0.1377461,239.5,26.592,26.592,0,0
621376,10009,40.059933,-0.1376974,239.5,24.598,24.598,0.014687719,75.384
631385,10009,40.059933,-0.1377412,239.5,24.999,24.999,0.330445,268.40594
641394,10009,40.059925,-0.1377462,239.5,26.414,26.414,0.11736147,240.5808
651403,10009,40.05993,-0.1377569,239.5,27.618,27.618,0.09732295,285.50742
671367,10009,40.059933,-0.1377589,239.5,25.204,25.204,0,0
681376,10009,40.05995,-0.1377459,239.5,21.315,21.315,0.008324083,30.384687
691385,10009,40.059956,-0.1377136,239.5,21.237,21.237,0.25655535,80.19639
701394,10009,40.059944,-0.1377083,239.5,23.292,23.292,0.11180488,132.95659
711403,10009,40.059944,-0.1377217,239.5,23.452,23.452,0.0757828,259.75812
731367,10008,40.05994,-0.137749,239.5,23.589,23.589,0,0
741375,10008,40.059948,-0.1377162,239.5,22.96,22.96,0.24069338,70.86048
751383,10008,40.059937,-0.1377159,239.5,23.532,23.532,0.006791475,197.76483
761391,10008,40.05994,-0.1377265,239.5,48.9,48.9,0.08134849,277.43036
771399,10008,40.059937,-0.1377555,239.5,56.1,56.1,0.21292576,267.3123
791367,10009,40.05995,-0.1377257,239.5,21.876,21.876,0,0
801376,10009,40.05994,-0.1377506,239.5,25.026,25.026,0.01326614,233.0646
811385,10009,40.05994,-0.1377587,239.5,24.579,24.579,0.0627815,275.95908
821394,10009,40.05994,-0.1377609,239.5,24.579,24.579,0.029048936,286.37946
831403,10009,40.059925,-0.1377691,239.5,25.12,25.12,0.13155866,207.70186
851367,10005,40.059906,-0.1377382,239.5,26.356,26.356,0,0
861372,10005,40.05994,-0.1377131,239.5,23.815,23.815,0.010187372,31.25855
871377,10005,40.05994,-0.1377272,239.5,23.008,23.008,0.06797315,301.48218
881382,10005,40.059948,-0.1377179,239.5,21.831,21.831,0.10744161,34.69421
891387,10005,40.059956,-0.1377171,239.5,20.951,20.951,0.063380435,6.150208
911367,10007,40.059948,-0.1376949,239.5,21.761,21.761,0.015472154,108.80872
921374,10007,40.05995,-0.1377025,239.5,20.831,20.831,0.08236445,316.3729
931381,10007,40.059956,-0.1377271,239.5,19.623,19.623,0.19947422,277.37393
941388,10007,40.059967,-0.1376974,239.5,18.519,18.519,0.20234644,57.313404
951395,10007,40.059963,-0.1376872,239.5,20.238,20.238,0.10388489,96.72712
971367,10008,40.059967,-0.1376828,239.5,19.664,19.664,0,0
981375,10008,40.05996,-0.1376874,239.5,21.16,21.16,0.0061917165,202.93834
991383,10008,40.059948,-0.1376921,239.5,21.276,21.276,0.11132237,200.61163
1001391,10008,40.05995,-0.1376955,239.5,20.578,20.578,0.023023063,286.2966
1011399,10008,40.05995,-0.1377124,239.5,19.783,19.783,0.120780654,271.27258
1031367,10008,40.059967,-0.1376903,239.5,18.727,18.727,0,0
1041375,10008,40.05997,-0.137682,239.5,19.024,19.024,0.006208571,49.453583
1051383,10008,40.05996,-0.1377167,239.5,19.394,19.394,0.30046436,245.43596
1061391,10008,40.05996,-0.1377216,239.5,19.394,19.394,0.08783983,245.37003
1071399,10008,40.05996,-0.1377147,239.5,19.62,19.62,0.03754559,92.94881
1091367,10010,40.059948,-0.1377244,239.5,21.491,21.491,0,0
1101377,10010,40.059956,-0.13771,239.5,20.839,20.839,0.12366995,56.68561
1111387,10010,40.059956,-0.1377114,239.5,20.839,20.839,0.012762084,35.486195
1121397,10010,40.059956,-0.1377071,239.5,20.254,20.254,0.041379593,50.31124
1131407,10010,40.05996,-0.1377117,239.5,19.869,19.869,0.04027763,317.6123
1151367,10007,40.059963,-0.1377129,239.5,19.537,19.537,0,0
1161374,10007,40.059956,-0.1377219,239.5,20.63,20.63,0.103339665,220.5602
1171381,10007,40.05996,-0.1377187,239.5,20.057,20.057,0.024930485,27.939413
1181388,10007,40.05995,-0.1376946,239.5,21.539,21.539,0.17909333,105.72333
1191395,10007,40.059948,-0.1376893,239.5,21.627,21.627,0.09639082,137.32878
1211367,10005,40.059937,-0.1377082,239.5,22.416,22.416,0,0
1221372,10005,40.059937,-0.1377041,239.5,22.155,22.155,0.0015639972,48.25806
1231377,10005,40.059956,-0.1377139,239.5,21.136,21.136,0.22589336,24.47018
1241382,10005,40.05995,-0.1376957,239.5,22.042,22.042,0.14553453,98.92301
1251387,10005,40.059944,-0.1376879,239.5,23.306,23.306,0.103297874,128.6348
1271367,10007,40.059944,-0.137696,239.5,22.902,22.902,0.035938974,254.10979
1281374,10007,40.059937,-0.1377085,239.5,23.086,23.086,0.10405963,242.11061
1291381,10007,40.059948,-0.1377163,239.5,26.726,26.726,0.11036551,320.0787
1301388,10007,40.059948,-0.1377205,239.5,27.566,27.566,0.049577564,297.40677
1311395,10007,40.05997,-0.1376992,239.5,27.746,27.746,0.21682595,35.562912
1331367,10008,40.059994,-0.1376744,239.5,21.846,21.846,0,0
1341375,10008,40.059982,-0.1376783,239.5,19.564,19.564,0.005331567,197.9757
1351383,10008,40.059975,-0.1376657,239.5,21.9,21.9,0.12991138,130.93803
1361391,10008,40.059967,-0.1376814,239.5,21.066,21.066,0.13075927,236.23334
1371399,10008,40.059967,-0.1376927,239.5,20.395,20.395,0.09072789,251.83502
1391367,10026,40.059956,-0.1376987,239.5,21.108,21.108,0,0
1401393,10026,40.05997,-0.1376932,239.5,19.476,19.476,0.009640829,14.828902
1411419,10026,40.059963,-0.1377102,239.5,20.62,20.62,0.14849436,243.35277
1421445,10026,40.059967,-0.1377128,239.5,20.365,20.365,0.047566034,299.58063
1431471,10026,40.059963,-0.137718,239.5,20.438,20.438,0.061441682,225.0128
1451367,10007,40.05997,-0.1377349,239.5,16.737,16.737,0,0
1461374,10007,40.059986,-0.1377465,239.5,18.719,18.719,0.18604355,331.41354
1471381,10007,40.059956,-0.1377932,239.5,18.2,18.2,0.47705203,229.48412
1481388,10007,40.05996,-0.1377831,239.5,26.697,26.697,0.22634703,356.96133
1491395,10007,40.05999,-0.1377963,239.5,19.214,19.214,0.31892258,343.6941
1511367,10011,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1521378,10011,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1531389,10011,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1541400,10011,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1551411,10011,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1571367,10010,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1581377,10010,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1591387,10010,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1601397,10010,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1611407,10010,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1631367,10009,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1641376,10009,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1651385,10009,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1661394,10009,40.05997,-0.1377761,239.5,23.548,23.548,0,0
1671403,10009,40.05999,-0.1377159,239.5,22.062,22.062,0,0
1691367,10104,40.059975,-0.1377539,239.40001,18.153,18.153,0,0
1701471,10104,40.05999,-0.1376901,239.40001,19.073,19.073,0.039826907,74.59761
1711575,10104,40.059998,-0.1377239,239.40001,21.727,21.727,0.020510063,287.6519
1721679,10104,40.060005,-0.1377593,239.40001,22.365,22.365,0.28563973,286.10602
1731783,10104,40.060013,-0.137793,239.40001,17.225,17.225,0.2462701,283.94867
1751367,10010,40.059956,-0.137767,239.5,21.525,21.525,0,0
1761377,10010,40.059948,-0.1377819,239.5,22.038,22.038,0.0067743273,250.34708
1771387,10010,40.059998,-0.1377164,239.40001,20.595,20.595,0.6801799,46.470352
1781397,10010,40.059994,-0.1376735,239.40001,14.538,14.538,0.39091697,81.109146
1791407,10010,40.06,-0.1376794,239.40001,15.57,15.57,0.0105946865,338.1181
1811367,10007,40.05997,-0.1377127,239.40001,16.314,16.314,0,0
1821374,10007,40.05997,-0.1377619,239.40001,15.876,15.876,0.37456477,270.97757
1831381,10007,40.059967,-0.1377503,239.5,19.974,19.974,0.0120428465,101.842995
1841388,10007,40.059853,-0.1377444,240,25.469,25.469,1.1395843,177.71854
1851395,10007,40.059517,-0.137865,240.1,27.326,27.326,3.2407212,193.99849
1871367,10012,40.05942,-0.1379412,240.20001,23.825,23.825,0,0
1881379,10012,40.05959,-0.1378943,240.40001,29.155,29.155,0.08017696,12.082055
1891391,10012,40.059395,-0.1379659,240.40001,27.414,27.414,1.617567,195.9898
1901403,10012,40.05929,-0.1380188,240.40001,21.36,21.36,1.3874875,198.84196
1911415,10012,40.059128,-0.1381248,238.40001,23.216,23.216,1.9389243,203.16563
1931367,10010,40.058647,-0.1389527,233.90001,21.118,21.118,0,0
1941377,10010,40.058643,-0.1389537,233.90001,20.877,20.877,0.001530414,197.0222
1951387,10010,40.058712,-0.1390628,233.90001,18.656,18.656,0.9895735,308.18433
1961397,10010,40.05875,-0.1391156,233.90001,19.115,19.115,0.77917784,312.1174
1971407,10010,40.05878,-0.1392924,234.5,46.074,46.074,1.1246057,292.17264
1991367,10007,40.05894,-0.139954,234.5,34.183,34.183,0,0
2001374,10007,40.058914,-0.1399993,233.8,15.02,15.02,0.051119443,268.4333
2011381,10007,40.058918,-0.1400025,234.40001,12.826,12.826,0.06582875,333.43665
2021388,10007,40.058918,-0.1400082,238.5,13.012,13.012,0.04252005,273.86487
2031395,10007,40.05892,-0.140009,238.5,13.012,13.012,0.02854048,308.82312
2051367,10007,40.058964,-0.140015,234.40001,30.425,30.425,0,0
2061374,10007,40.05983,-0.1397402,234.6,20.676,20.676,0.26142412,13.673641
2071381,10007,40.059772,-0.1397596,234.6,27.589,27.589,0.51664555,194.80884
2081388,10007,40.059734,-0.1398467,234.6,30.367,30.367,0.6588266,225.37383
2091395,10007,40.059723,-0.1398793,234.6,30.389,30.389,0.49426654,231.61743
2111367,10009,40.059742,-0.1398501,234.6,34.578,34.578,0,0
2121376,10009,40.05974,-0.1398644,237.70001,44.754,44.754,0.0026436474,250.17943
2131385,10009,40.05977,-0.139716,237.70001,80.963,80.963,0.7331892,74.775894
2141394,10009,40.060493,-0.1398006,233.70001,58.799,58.799,3.7844956,0.83481604
2151403,10009,40.06073,-0.1398773,233.70001,74.813,74.813,3.3441184,356.3892
2171367,10005,40.06081,-0.1398823,233.70001,62.691,62.691,0.015317176,322.50006
2181372,10005,40.06068,-0.1397302,233.70001,62.109,62.109,0.6853245,137.82881
2191377,10005,40.060776,-0.139572,233.70001,63.968,63.968,0.536368,58.95547
2201382,10005,40.06103,-0.1396696,231.90001,36.85,36.85,1.2932297,359.1069
2211387,10005,40.06124,-0.1398029,231.8,16.672,16.672,1.659557,345.30582
2231367,10012,40.06129,-0.1398078,231.90001,20.704,20.704,0.8916044,348.24667
2241379,10012,40.061275,-0.139788,231.90001,23.445,23.445,0.41106874,357.82632
2251391,10012,40.06128,-0.1397697,231.90001,27.729,27.729,0.28634712,13.866285
2261403,10012,40.061268,-0.1396962,231.90001,42.61,42.61,0.3189343,71.81699
2271415,10012,40.061127,-0.1391611,233.5,38.992,38.992,1.7080295,105.45809
2291367,10009,40.061157,-0.138884,233.6,25.778,25.778,0,0
2301376,10009,40.061127,-0.1388,234.1,24.157,24.157,0.028589025,114.17509
2311385,10009,40.061188,-0.1387123,233.6,36.788,36.788,0.040952556,48.029686
2321394,10009,40.06193,-0.1386358,233.6,19.011,19.011,5.3969474,4.5994425
2331403,10009,40.062103,-0.1385453,229.90001,23.862,23.862,3.0485861,12.771321
